method,path,auth,path_params,source
POST,/api/v1/bookings/{booking_id}/reject,authenticated,booking_id,bookings.py:dealer_reject
POST,/api/v1/bookings/{booking_id}/reject-proposal,authenticated,booking_id,bookings.py:reject_proposal
GET,/api/v1/branding/platform,public,,branding.py:platform_branding
GET,/api/v1/branding/platform/logo,public,,branding.py:serve_platform_logo
POST,/api/v1/contact,optional,,contact.py:submit_contact
GET,/api/v1/contact/categories,public,,contact.py:contact_categories
DELETE,/api/v1/dealer/branding/logo,brand_owner,,branding.py:delete_logo
PUT,/api/v1/dealer/branding/logo,brand_owner,,branding.py:upload_logo
GET,/api/v1/dealer/branding/logo/{dealer_id},public,dealer_id,branding.py:serve_logo
GET,/api/v1/dealer/branding/me,authenticated,,branding.py:my_branding
GET,/api/v1/dealer/enquiry-config,staff,,dealer_enquiry_config.py:get_config
PUT,/api/v1/dealer/enquiry-config,owner,,dealer_enquiry_config.py:save_config
GET,/api/v1/dealer/messaging/config,owner,,messaging.py:get_config
PUT,/api/v1/dealer/messaging/config,owner,,messaging.py:save_config
PUT,/api/v1/dealer/messaging/smtp,owner,,messaging.py:save_smtp
POST,/api/v1/dealer/messaging/smtp/confirm-from,public,,messaging.py:confirm_from_email
GET,/api/v1/dealer/messaging/smtp/reveal,owner,,messaging.py:reveal_smtp
GET,/api/v1/dealer/messaging/smtp/verify-from,owner,,messaging.py:verify_from_status
POST,/api/v1/dealer/messaging/smtp/verify-from,owner,,messaging.py:verify_from_email
GET,/api/v1/dealer/messaging/templates,owner,,messaging.py:list_dealer_scoped_templates
POST,/api/v1/dealer/messaging/test-email,owner,,messaging.py:test_email
POST,/api/v1/dealer/messaging/test-whatsapp,owner,,messaging.py:test_whatsapp
PUT,/api/v1/dealer/messaging/whatsapp,owner,,messaging.py:save_whatsapp
GET,/api/v1/dealer/messaging/whatsapp/reveal,owner,,messaging.py:reveal_whatsapp
GET,/api/v1/dealer/price-list,staff,,price_list.py:list_items
PUT,/api/v1/dealer/price-list,owner,,price_list.py:save_items
POST,/api/v1/dealer/price-list/parse,owner,,price_list.py:parse_file
DELETE,/api/v1/dealer/price-list/{item_id},owner,item_id,price_list.py:delete_item
GET,/api/v1/dealer/showroom-link,public,,showroom.py:my_showroom_link
GET,/api/v1/dealer/showroom-preview,public,,showroom.py:my_showroom_preview
GET,/api/v1/dealers/me/activity,authenticated,,dealers.py:my_activity
GET,/api/v1/dealers/me/dashboard,authenticated,,dealers.py:my_dashboard
